Brand,Category,Product Name,Main Ingredient,Ingredients,Skin Type,Benefit,Description
The Body Shop,Serums,Vitamin E Overnight Serum-in-oil,Sesame Oil,"Caprylic/?Capric Triglyceride, Dicaprylyl Carbonate, Triticum Vulgare Germ Oil, Prunus Amygdalus Dulcis Oil, Helianthus Annuus Seed Oil, Sesamum Indicum Seed Oil, Simmondsia Chinensis Seed Oil, Sclerocarya Birrea Seed Oil, Glycine Soja Oil, Parfum, Tocopheryl Acetate, Benzyl Benzoate, Geraniol, Linalool, Limonene, Citronellol, Tocopherol, Benzyl Salicylate, Eugenol, Citral, Anise Alcohol, Citric Acid",All,"Wake up to beautiful skin with new Vitamin E Overnight Serum-In-Oil, a technical innovation combining the power of a serum and oil to indulge, replenish and recharge skin with moisture overnight.","['8h beauty sleep for your skin', 'Skin feels recharged, replenished and softer', 'Skin looks fresher, rested and more radiant', 'Our highest concentration of wheatgerm oil', 'Non-greasy, fast-absorbing formula', ' Enriched with community trade  Soya from Brazil ', ' To complete your daily routine, shop our  Vitamin E Collection', ' Enriched with community trade  Marula from Namibia']"
The Body Shop,Moisturizers,Aloe Soothing Moisture Lotion SPF 15,Aloe Vera,"Aqua/Water/Eau, Ethylhexyl Methoxycinnamate, Octocrylene, Glycerin, Butyl Methoxydibenzoylmethane, Butylene Glycol, Butyrospermum Parkii Butter/Butyrospermum Parkii (Shea) Butter, Cetearyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Caprylic/Capric Triglyceride, Sesamum Indicum Seed Oil/Sesamum Indicum (Sesame) Seed Oil, Aloe Barbadensis Leaf Juice, Phenoxyethanol, Caprylyl Glycol, Xanthan Gum, Parfum/Fragrance, Sodium Benzoate, Disodium EDTA, Linalool, Sodium Hydroxide, Tocopherol, Citric Acid, Limonene, Benzyl Benzoate, Citral, Geraniol, Coumarin, CI 19140/Yellow 5, CI 42090/Blue 1.",Sensitive,"Soothe your skin while helping to keep it protected from the sun with our lightweight SPF15 moisturizer. Skin feels softer, protected and moisturized.","['Moisturizing Lotion formulated for sensitive skin ', 'With SPF15', 'No added fragrance, color or alcohol', 'Enriched with community trade Aloe Vera from Mexico']"
The Body Shop,Overnight Treatments,Drops of Youthâ„¢ Bouncy Sleeping Mask,Babassu,"Aqua/Water/Eau, Propanediol, Glycerin, Dimethicone, Helianthus Annuus Hybrid Oil, Polysorbate 20, Diheptyl Succinate, Acrylates/Beheneth-25 Methacrylate Copolymer, Phenoxyethanol, Tocopheryl Acetate, Orbignya Oleifera Seed Oil, Benzyl Alcohol, Caprylhydroxamic Acid, Sodium Hyaluronate, Sodium Hydroxide, Parfum/Fragrance, Disodium EDTA, Adenosine, Caffeine, Capryloyl Glycerin/Sebacic Acid Copolymer, Linalool, Citronellol, Leontopodium Alpinum Meristem Cell Culture, Limonene, Citric Acid, Xanthan Gum.",All,"This refreshing overnight face mask has been formulated to address the first signs of ageing. Enriched with edelweiss stem cells, the innovative bouncy, gel-cream texture molds itself like a second skin for instant hydration. Wake up to soft, youthful looking skin that feels plumper, replenished and renewed.","['100% vegan', 'For all skin types and first signs of aging', 'Overnight Face Mask', 'Smoothes and refreshes skin', ' Enriched with  Edelweiss Plant Cells from Italy and Community Trade organic babassu oil from Brazil', 'Follow our  step by step Drops Of Youth â„¢ Routine ', 'Smoothes and refreshes skin', ' Skin feels renewed', ' Dermatologically tested']"
The Body Shop,Sensitive Skin,Aloe Multi-Use Soothing Gel,Aloe Vera,"Aqua, Pentylene Glycol, Propanediol, Glycerin, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aloe Barbadensis Leaf Juice Powder, Sodium Hydroxide, Caprylyl Glycol, Trisodium Ethylenediamine Disuccinate, PEG-30 Dipolyhydroxystearate, Trideceth-6.","Sensitive, Dry","New refreshing, lightweight face and body gel moisturizer that hydrates and helps soothe dry, sensitive skin. Non-greasy and gentle on skin. Can be used as an overnight leave-on mask to restore comfort of skin. Enriched with 90% gel from Community Trade aloe vera from Campeche, Mexico. Formulated without alcohol, colorants, and fragrance.","['Face and Body cooling moisturizer', 'Hydrating, soothing and refreshing', 'Non-greasy, gentle on skin', 'Formulated for sensitive skin', 'Dermatologically tested', ' Enriched with community trade Aloe Vera from Mexico']"
The Body Shop,Moisturizers,Oils Of Lifeâ„¢ Intensely Revitalizing Cream,Black Cumin Seed Oil,"Aqua, Hydrogenated Polyisobutene, Dimethicone, Glycerin, Aluminum Starch Octenylsuccinate, Cetyl Alcohol, PEG-40 Stearate, Glyceryl Stearate, Octyldodecanol, Olea Europaea Fruit Oil, Butyrospermum Parkii Butter, Fagus Sylvatica Bud Extract, Phenoxyethanol, Polyacrylamide, Sorbitan Tristearate, Rosa Canina Fruit Oil, Camellia Oleifera Seed Oil, Caprylyl Glycol, C13-14 Isoparaffin, Glycine Soja Protein, Mica, Parfum, Tocopherol, Adenosine, Nigella Sativa Seed Oil, Laureth-7, Linalool, Myristyl Alcohol, Stearyl Alcohol, Disodium EDTA, Citric Acid, Limonene, Sodium Cocoyl Glutamate, Geraniol, Citronellol, Ethylhexylglycerin, Sodium Benzoate, Potassium Sorbate, Benzoic Acid, Tin Oxide, Sorbic Acid, CI 77891, CI 19140, CI 14700.",All,"This rich and silky daily cream contains a blend of three precious seed oils from around the world. It intensely revitalizes skin, replenishes moisture and revives radiance. The cream effortlessly melts into skin for a comfortable finish that feels light and non-greasy.","['Silky-soft daily nourishing cream infused with 3 precious seed oils from around the world to replenish and revitalise skin.', ' Cold-pressed seed oils to preserve potent properties and ensure the utmost affinity to skin.', ' Comfortable but light and non-greasy', ' Pairs perfectly with our Intensely Revitalizing Facial Oil  ', ' Enriched with   Black Cumin Seed Oil from Egypt,  Camellia Seed Oil from China,  Rosehip Oil from Chile and Community Trade organic olive oil from Italy ', 'Skin looks smoother and feels suppler', 'Suitable for all skin types, and skin lacking nourishment and radiance ', 'Self-assesment 167 women']"
The Body Shop,Serums,Oils Of Lifeâ„¢ Intensely Revitalizing Facial Oil,Black Cumin Seed Oil,"Caprylic/Capric Triglyceride, Olea Europaea Fruit Oil, Simmondsia Chinensis Seed Oil, Camelina Sativa Seed Oil, Rosa Canina Fruit Oil, Camellia Oleifera Seed Oil, Nigella Sativa Seed Oil, Parfum, Tocopherol, Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate, Limonene, Linalool, Citronellol, Geraniol, Pelargonium Graveolens Flower Oil, Rosmarinus Officinalis Leaf Oil, Origanum Majorana Leaf Oil, Anthemis Nobilis Flower Oil, Coumarin, Lavandula Angustifolia Oil, Lavandula Hybrida Oil, Citral, Citrus Aurantium Dulcis Peel Oil.","Dull, Dry","This lightweight daily facial oil instantly replenishes moisture and revives skinâ€™s radiance. It effortlessly melts into skin leaving a non-sticky, velvety-soft finish, with a quick-absorbing formula created using three precious seed oils from around the world.","['Potent daily facial oil infused with 3 precious seed oils from around the world to give new life to your skin ', ' Cold-pressed seed oils to preserve potent properties and ensure the utmost affinity to skin ', ' Made from 99% oils of natural origin ', ' Lightweight and quickly-absorbed, non-sticky finish ', ' Skin looks revitalized and feels more elastic and firmer* ', ' *User test: Facial oil on 158 women â€“ after 4 weeks ', ' Enriched with   Black Cumin Seed Oil from Egypt,  Camellia Seed Oil from China,  Rosehip Oil from Chile and Community Trade organic olive oil']"
The Body Shop,Moisturizers,Aloe Soothing Night Cream,Aloe Vera,"Aqua/Water/Eau, Glycerin, Pentylene Glycol, Caprylic/Capric Triglyceride, Butylene Glycol, Glyceryl Stearate Citrate, Isononyl Isononanoate, Elaeis Guineensis Oil/Elaeis Guineensis (Palm) Oil, Myristyl Myristate, Octyldodecanol, Sesamum Indicum Seed Oil/Sesamum Indicum (Sesame) Seed Oil, Squalane, Cetearyl Alcohol, Cetyl Alcohol, Butyrospermum Parkii Butter/Butyrospermum Parkii (Shea) Butter, Panthenol, Aloe Barbadensis Leaf Juice Powder, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum, Bisabolol, Polylysine, Sodium Hydroxide, Disodium EDTA, Myristyl Alcohol, Stearyl Alcohol, PEG-30 Dipolyhydroxystearate, Trideceth-6, Avena Sativa Kernel Extract/Avena Sativa (Oat) Kernel Extract, Citric Acid.",Sensitive,"Developed to give sensitive skin extra care, our gentle, velvety aloe night cream nourishes, softens and soothes. Use overnight to restore moisture and calm the skin.","['Soothing Night Cream', 'Formulated for sensitive skin ', 'No added fragrance, color or alcohol', 'Formulated without preservatives', ' Enriched with community trade Aloe Vera from Mexico']"
The Body Shop,Moisturizers,Roots of Strengthâ„¢ Firming Shaping Day Cream,Soya,"Aqua / Water / Eau, Glycerin, Dicaprylyl Ether, Butylene Glycol, Isopropyl Isostearate, Cetyl Alcohol, Behenyl Alcohol, Poloxamer 338, Stearic Acid, Palmitic Acid, Phospholipids, Parfum / Fragrance, Disodium Stearoyl Glutamate, Caprylyl Glycol, Sodium Hydroxide, PEG-100 Stearate, Salicylic Acid, Chlorphenesin, Panax Ginseng Root Extract, Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer, PEG-12 Dimethicone, Polysilicone-11, Cetearyl Glucoside, Ruscus Aculeatus Root Extract, Sodium Hyaluronate, Pentylene Glycol, Secale Cereale Seed Extract / Rye Seed Extract, Zingiber Officinale Root Extract / Ginger Root Extract, Disodium EDTA, Adenosine, Myristic Acid, Isobutane, T-Butyl Alcohol, Limonene, Linalool, Citral, Geraniol, Tocopherol, Citronellol, BHT, Citric Acid.",All,"Unveil your skinâ€™s strength with this rich firming and shaping* cream, enriched with nature's  root extracts. Rich yet non-greasy, skin feels comfortably moisturized, firmer and denser. Fine lines appear reduced and skin feels strengthened.  Use as the final step of your Roots of Strengthâ„¢ skincare routine. ","['Rich firming and shaping day cream', '100% vegan', 'Enriched with 3 root extracts: Ginger from Madagascar, Ginseng from China and Ruscus from Europe and Community Trade  Soya Oil  from Brazil', 'Skin feels firmer, denser and strengthened **', 'Dermatologically tested', 'Formulated without mineral oil, paraffin and petroleum **Self-assessment on 123 women']"
The Body Shop,Moisturizers,Oils Of Lifeâ„¢ Sleeping Cream,Black Cumin Seed Oil,"Aqua, Glycerin, Pentaerythritol Pentaerythrityl Tetraethylhexanoate, Dimethicone, Alcohol Denat., Ammonium Acryloyldimethyltaurate/VP Copolymer, Fagus Sylvatica Bud Extract, Phenoxyethanol, Caprylyl Glycol, Dimethiconol, Mannose, Xanthan Gum, Sodium Hyaluronate, Nigella Sativa Seed Oil, Olea Europaea Fruit Oil, Rosa Canina Fruit Oil, Camellia Oleifera Seed Oil, Disodium EDTA, Adenosine, Parfum, t-Butyl Alcohol, Limonene, Linalool, Citronellol, Geraniol, Pelargonium Graveolens Flower Oil, Rosmarinus Officinalis Leaf Oil, Benzoic Acid, Origanum Majorana Leaf Oil, Sodium Hydroxide, Anthemis Nobilis Flower Oil, Coumarin, Sorbic Acid, Lavandula Angustifolia Oil, Lavandula Hybrida Oil, Citrus Aurantium Dulcis Peel Oil, Tocopherol, CI 19140, CI 14700.",All,"This nourishing night time cream,  infused with three precious seed oils from around the world, moisturizes whilst you sleep. Waking up, skin looks rested and revitalized, feels velvety-soft and more supple.","['Infused with 3 Precious Revitalizing Seed Oils ', ' Black Cumin Seed Oil from Egypt, known for its concentration in antioxidants.  Rosehip Oil from Chile, rich in repairing Omega 3 and  Camellia Seed Oil from China, naturally rich in nutritive oleic acid.', ' Enriched with Community Trade organic olive oil from Italy', 'Suitable for all skin types']"
The Body Shop,Serums,Roots of Strengthâ„¢ Firming Shaping Serum,Soya,"Aqua / Water / Eau, Glycerin, Dicaprylyl Carbonate, Alcohol Denat., Acacia Senegal Gum, Glyceryl Stearate, Mannose, Microcrystalline Cellulose, Benzyl Alcohol, Zea Mays Starch / Corn Starch, Glycine Soja Oil / Soybean Oil, Carrageenan, Parfum / Fragrance, Arginine, Salicylic Acid, Cellulose Gum, Ruscus Aculeatus Root Extract, Sodium Hyaluronate, Xanthan Gum, Zingiber Officinale Root Extract / Ginger Root Extract, Phospholipids, Adenosine, Panax Ginseng Root Extract, Limonene, Linalool, Citral, Tocopherol, Geraniol, Citronellol, Citric Acid.",Sensitive,"With a lightweight silky texture, this firming and shaping* serum leaves skin feeling smoother and refined. Taking inspiration from nature, the formula is infused with three root extracts, including ginger from Madagascar.  Wrinkles appear less visible and signs of ageing reduced. From your jawline to every contour, skin feels moisturized,  smoother, plumper and firmer, as if re-shaped. Use daily as part of your three step Roots of Strengthâ„¢ regime. 
","['99% ingredients of natural origin', '100% Vegan', 'Enriched with 3 root extracts: Ginger from Madagascar, Ginseng from China and Ruscus from Europe and Community Trade  Soya Oil  from Brazil', 'Wrinkles appear reduced in number, surface area and length**', 'Skin feels firmer, appears more plump and feels strengthened', 'Dermatologically tested. Suitable for sensitive skin', 'Formulated without mineral oil, paraffin and silicones.**Clinical test on 41 women + Self-assessment on 53 women']"
The Body Shop,Sheet Masks,Drops of Youthâ„¢ Youth Concentrate Sheet Mask,Edelweiss Stem Cells,"Aqua / Water / Eau, Glycerin, Alcohol Denat., Propanediol, Fagus Sylvatica Bud Extract, Sodium Hyaluronate, Benzyl Alcohol, Salicylic Acid, Sodium Hydroxide, Parfum / Fragrance, Adenosine, Linalool, Crithmum Maritimum Extract, Orbignya Oleifera Seed Oil, Citronellol, Malva Sylvestris Flower Extract / Mallow Flower Extract, Benzoic Acid, Sorbic Acid, Citric Acid, Limonene, Eryngium Maritimum Extract, Sodium Benzoate, Potassium Sorbate, Leontopodium Alpinum Callus Culture Extract, Xanthan Gum.",All,"In just 15 minutes get ready for bouncier, healthier-looking skin with our unique, biodegradable Drops of Youthâ„¢ Youth Concentrate Sheet Mask. Enriched with a concentrated dose of our iconic Drops of Youthâ„¢ formula, simply unfold your mask and smooth it on. Itâ€™s easy and comfortable to apply and leaves your skin feeling instantly smoother and fresher.
","['100% vegetarian', ' Biodegradable sheet mask ', ' Leaves skin feeling fresher and smoother and looking bouncier and healthier ', ' 99% ingredients of natural origin ', ' Contains 70% of the concentrate in a 1 FL OZ bottle of Drops of Youthâ„¢ Youth Concentrate ', ' Enriched with  Edelweiss,  Criste Marine and  Sea Holly plant stem cells from the Italian Alps and Brittany Coast ', ' Enriched with Community Trade organic  Babassu Oil from Brazil']"
The Body Shop,Face Masks,Japanese Matcha Tea Pollution Clearing Mask,Aloe Vera,"Aqua, Kaolin, Propanediol, Olea Europaea Fruit Oil, Glycerin, Cetearyl Alcohol, Luffa Cylindrica Fruit, Butyrospermum Parkii Butter, Glyceryl Stearate, PEG-100 Stearate, Phenoxyethanol, Parfum, Caprylyl Glycol, Polysorbate 60, Sodium Polyacrylate, Prunus Armeniaca Seed Powder, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aloe Barbadensis Leaf Juice Powder, Tocopherol, Trisodium Ethylenediamine Disuccinate, Butyl Methoxydibenzoylmethane, Taraxacum Officinale Rhizome/Root Extract, Menthol, Sodium Hydroxide, Tetrasodium Pyrophosphate, Limonene, Citric Acid, Camellia Sinensis Leaf Extract, Ethylhexylglycerin, Sodium Benzoate, Potassium Sorbate, Caramel, CI 19140, CI 42090",All,"Enriched with matcha green tea from Kakegawa, Japan, dandelion extract and soul-soothing Community Trade aloe vera from Mexico, our indulgently creamy, 100% vegan masking formula deeply purifies, gently exfoliates andÂ  liberates your skin from the weekly build-up of city pollutants and everyday impurities.","['Helps remove pollutants and impurities', 'Reveals radiant, younger-looking skin', 'Enriched with Matcha Green Tea from Japan and Community Trade Aloe Vera from Mexico', '100% vegan', 'Most recently featured in People magazine!', '91% of women agreed pollution felt removed from their skin (based on trial results from 103 women)', 'Formulated without silicones, mineral oil or paraffins', ' Discover the benefits of our natural 100% vegetarian face masks  to reveal amazing, healthy skin!']"
The Body Shop,Face Mists,Rose Dewy Glow Face Mist,Aloe Vera,"Aqua/Water/Eau, Propanediol, Glycerin, Polysorbate 20, Phenoxyethanol, Caprylyl Glycol, Parfum/Fragrance, Trisodium Ethylenediamine Disuccinate, Propylene Glycol, Aloe Barbadensis Leaf Juice Powder, Rose Extract, Calcium Aluminum Borosilicate, Citric Acid, Silica, Prunus Cerasus Fruit Extract/Bitter Cherry Fruit Extract, Rubus Idaeus Fruit Extract/Raspberry Fruit Extract, Sodium Benzoate, Sodium Hydroxide, Potassium Sorbate, Tin Oxide, CI 77891/Titanium Dioxide.",All,"Step into the spotlight with Rose Dewy Glow Face Mist. With reflective particles, this mist gives your skin a dewy, illuminated glow for an instant confidence boost. With a blend of raspberry essence, cherry water from France and Community Trade British rose essence. Leaves skin feeling hydrated and instantly refreshed after a spritz.","[' 100% vegan ', ' Enriched with Community Trade organic aloe vera from Mexico', 'Pair with our Vitamin E Moisture Cream', ' Skin looks illuminated and dewy', ' Suitable for all skin types', ' Perfect for dull skin lacking glow ', ' Dermatologically tested', ' Make-up friendly, can be applied before of after makeup application']"
The Body Shop,Face Mists,Mint Mattifying Face Mist,Aloe Vera,"Aqua/?Water/?Eau, Tapioca Starch Polymethylsilsesquioxane, Propanediol, Glycerin, Butylene Glycol, Polysorbate 20, Phenoxyethanol, Kaolin, Caprylyl Glycol, Parfum/?Fragrance, Trisodium Ethylenediamine Disuccinate, Limonene, Aloe Barbadensis Leaf Juice Powder, Barosma Betulina Leaf Extract, Citric Acid, Mentha Viridis Leaf Extract/?Spearmint Leaf Extract, Fucus Vesiculosus Extract, Benzyl Alcohol, Linalool, Sodium Benzoate, Tetrasodium Pyrophosphate, Sodium Hydroxide, Potassium Sorbate","Oily, Combination","Stay in control with Mint Mattifying Face Mist. This mist leaves skin looking mattified and shine-free and helps reduce the appearance of excess oil. Infused with a winning combination of mint from Nicaragua, seaweed extract from Ireland and kaolin clay from the UK. Leaves skin feeling hydrated and instantly refreshed. ","['Enriched with Community Trade organic aloe vera from Mexico', 'Pairs perfectly with our Seaweed Oil-Control Gel Cream ', ' Skin looks shine-free and feels cooled', ' Suitable for all skin types ', ' Perfect for shiny, combination skin', ' Dermatologically tested', ' Non-comedogenic', ' Make-up friendly , can be applied before of after makeup application']"
The Body Shop,Face Mists,Mandarin Energizing Face Mist,Aloe Vera,"Aqua/?Water/?Eau, Propanediol, Glycerin, Polysorbate 20, Phenoxyethanol, Caprylyl Glycol, Citrus Nobilis Fruit Extract/?Mandarin Orange Fruit Extract, Caffeine, Parfum/?Fragrance, Limonene, Trisodium Ethylenediamine Disuccinate, Aloe Barbadensis Leaf Juice Powder, Hydrolyzed Lepidium Meyenii Root, Citric Acid, 1,2-Hexanediol, Citral, Myrciaria Dubia Fruit Extract, Lycium Barbarum Fruit Extract, Capryloyl Glycine, Sodium Hydroxide, Linalool, Sodium Benzoate, Sodium Dehydroacetate, Salicylic Acid, Lactic Acid, Potassium Sorbate",All,"Wake-up with Mandarin Energizing Face Mist. Kick-start the day with a spritz of this zingy mist to help re-energize your complexion - perfect when late nights are starting to take their toll on your skin. Infused with mandarin, camu camu berry extract from Brazil, maca root extract from Peru, and  caffeine for an extra boost. Leaves skin feeling hydrated and instantly refreshed. ","['100% vegan ', ' Enriched with Community Trade organic aloe vera from Mexico', 'Pair with our Vitamin C Glow Boosting Moisturizer', ' Skin feels energized and dullness appears reduced', ' Suitable for all skin types ', ' Perfect for tired, grumpy skin', ' Dermatologically tested', ' Make-up friendly, can be applied before of after makeup application ']"
The Body Shop,Face Masks,Vitamin E Sink-in Moisture Mask,Soya,"Aqua/Water/Eau, Glycerin, Cyclohexasiloxane, Propylene Glycol, Oryza Sativa Bran Oil/Oryza Sativa (Rice) Bran Oil, Gossypium Herbaceum Seed Oil/Gossypium Herbaceum (Cotton) Seed Oil, Triticum Vulgare Germ Oil/Triticum Vulgare (Wheat) Germ Oil, Glycine Soja Oil/Glycine Soja (Soybean) Oil, Diglycerin, Methyl Gluceth-20, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Panthenol, Tocopheryl Acetate, Benzyl Alcohol, Lecithin, Sodium Hydroxide, Parfum/Fragrance, Benzyl Benzoate, Disodium EDTA, Methylparaben, Hydroxycitronellal, Butylparaben, Ethylparaben, Limonene, Geraniol, Linalool, Propylparaben, Citronellol, Cinnamyl Alcohol, Alpha-Isomethyl Ionone, Citric Acid, CI 14700/Red 4.",All,"The Vitamin E Sink-In Moisture Mask is a light, creamy gel-type mask that instantly relieves the uncomfortable feeling of dry, tight skin and restores the skinâ€™s optimum moisture level. It smoothes out the appearance of fine lines caused by dehydration and leaves the skin feeling soft and supple.","['Moisture Mask', 'Suitable for all skin types', 'Helps protect and moisturize skin', 'Helps reduce the effects of environmental agressors', 'Enriched with Community Trade Soya Oil from Brazil']"
The Body Shop,Face Mists,Coco Calming Face Mist,Aloe Vera,"Aqua/?Water/?Eau, Propanediol, Glycerin, Phenoxyethanol, Caprylyl Glycol, Cocos Nucifera Fruit Juice/?Coconut Fruit Juice, Polysorbate 20, Allantoin, Aloe Barbadensis Leaf Juice Powder, Bisabolol, Parfum/?Fragrance, Trisodium Ethylenediamine Disuccinate, Citric Acid, Benzyl Alcohol, Sodium Benzoate, Coumarin, Limonene, Potassium Sorbate","Dry, Sensitive","Help keep your skin feeling calm so you can carry on with our Coco Calming Face Mist. This calming mist helps to soothe dry, sensitive skin when you need instant relief. Enriched with naturally refreshing coconut water from Brazil, as well as calming aloe vera and bisabolol. Leaves skin feeling hydrated and instantly refreshed.","['Enriched with Community Trade organic aloe vera from Mexico', ' Pairs perfectly with our Aloe Soothing Day Cream', ' Skin feels calm and comforted', ' Suitable for all skin types ', ' Perfect for dry, sensitive skin', ' Dermatologically tested', ' Make-up friendly, can be applied before of after makeup application']"
The Body Shop,Face Masks,Chinese Ginseng and Rice Clarifying Polishing Mask,Sesame Oil,"Aqua, Glycerin, Luffa Cylindrica Fruit, Kaolin, Sesamum Indicum Seed Oil, Cetyl Alcohol, Glyceryl Stearate, Magnesium Aluminum Silicate, PEG-100 Stearate, Alcohol Denat., Decyl Glucoside, Cera Alba, Perlite, Butyrospermum Parkii Butter, Parfum, Phenoxyethanol, Tocopheryl Acetate, Salicylic Acid, Xanthan Gum, Limonene, Sodium Benzoate, Citric Acid, Propylene Glycol, Myristyl Alcohol, Stearyl Alcohol, Menthol, Panax Ginseng Root Extract, Disodium EDTA, Citral, Citronellol, Linalool, Menthoxypropanediol, Tetrasodium Pyrophosphate, Eugenol, Dextrin, Oryza Sativa Extract, CI 77891.",All,"Give your skin a new lease of life with our Chinese Ginseng & Rice Clarifying Polishing Mask. Inspired by Chinese traditions, weâ€™ve blended ginseng extract, rice extract and sesame seed oil into our 100% vegetarian creamy exfoliating mask, thatâ€™s been formulated without parabens, paraffin, silicone or mineral oil. ","['100% vegetarian ', ' Creamy exfoliating face mask ', ' Formulated without parabens, paraffins, silicones or mineral oils', ' Perfect for skin that needs an intense treatment to remove dullness and unevenness. ', ' Illuminates, evens and revitalises skin ', ' Blended with rice & ginseng extracts from China and organic Community Trade Seasame Seed Oil from Nicaragua.', ' Discover the benefits of our natural 100% vegetarian face masks  to reveal amazing, healthy skin!']"
The Body Shop,Face Masks,Mediterranean Almond Milk with Oats Instant Soothing Mask,Almond,"Aqua / Water / Eau, Olea Europaea Fruit Oil / Olive Fruit Oil, Glycerin, Propanediol, Avena Sativa Kernel Meal / Oat Kernel Meal, Cetearyl Alcohol, Butyrospermum Parkii Butter / Butyrospermum Parkii (Shea) Butter, Betaine, Lactobacillus Ferment Lysate, Sodium Polyacrylate, Carrageenan, Benzyl Alcohol, Jojoba Esters, Levulinic Acid, Parfum / Fragrance, Sodium Dehydroacetate, Sodium Stearoyl Glutamate, Sodium Levulinate, Tocopherol, Bisabolol, Aloe Barbadensis Leaf Juice Powder, Trisodium Ethylenediamine Disuccinate, Leuconostoc/Radish Root Ferment Filtrate, Citric Acid, Helianthus Annuus Seed Oil / Sunflower Seed Oil, Prunus Amygdalus Dulcis Seed Extract / Sweet Almond Seed Extract, Xanthan Gum, Sodium Hydroxide, Dehydroacetic Acid.",All,"Sensitive skin doesnâ€™t need to miss out on exfoliating face masks with our Mediterranean Almond Milk with Oats Instant Soothing Mask. Inspired by ancient Roman recipes, the mask has a creamy, porridge-like blend of oatmeal from the UK and Community Trade organic almond milk from Spain. This mask helps relieve dry, sensitive skin from tightness and itchiness, and gently exfoliates to leave skin feeling softer, smoother and recharged with moisture.","['Creamy, comforting face mask ', ' With oatmeal from the UK and Community Trade Almond Milk from Spain ', ' Enriched with Community Trade Aloe Vera  from Mexico and Community Trade  Shea butter from Ghana   ', ' Suitable for sensitive skin  ', ' 100% agree the product feels gentle on the skin* ', ' 96% agree skin feels soothed* ', ' 95% agree skin feels comforted*  *User trials on 100 women with sensitive skin.']"
The Body Shop,Face Mists,Strawberry Smoothing Face Mist,Aloe Vera,"Aqua/?Water/?Eau, Propanediol, Glycerin, Polysorbate 20, Phenoxyethanol, Caprylyl Glycol, Vaccinium Myrtillus Fruit Extract, Fragaria Vesca Juice/?Strawberry Juice, Saccharum Officinarum Extract/?Sugarcane Extract/?Extrait De Canne À Sucre, Parfum /? Fragrance, Sodium Hydroxide, Trisodium Ethylenediamine Disuccinate, Citrus Aurantium Dulcis Fruit Extract/?Orange Fruit Extract, Citrus Limon Fruit Extract/?Lemon Fruit Extract, Aloe Barbadensis Leaf Juice Powder, Acer Saccharum Extract, Acer Saccharum Extract, Limonene, Linalool, Citronellol, Benzyl Alcohol, Psidium Guajava Fruit Extract, Salicylic Acid",All,Go #NoFilter once youâ€™ve smoothed over your complexion with our Strawberry Smoothing Face Mist. Skin texture appears refined with this delicately scented mist for a smoother-looking complexion. Infused with extract of juicy strawberries from Italy and guava from Brazil. Leaves skin feeling hydrated and instantly refreshed.,"['Enriched with Community Trade organic aloe vera from Mexico ', ' Pair with our Drops Of Youthâ„¢ Youth Cream', ' Skin appears smooth and feels velvet to the touch', ' Suitable for all skin types', ' Perfect for uneven skin', 'Dermatologically tested', ' Make-up friendly, can be applied before of after makeup application']"
The Body Shop,Sheet Masks,Vitamin C Glow Sheet Mask,Aloe Vera,"Aqua/Water/Eau, Alcohol Denat., Glycerin, Propanediol, Sodium Citrate, Benzyl Alcohol, PPG-26-Buteth-26, Citric Acid, PEG-40 Hydrogenated Castor Oil, Salicylic Acid, Sodium Gluconate, 3-O-Ethyl Ascorbic Acid, Tocopheryl Acetate, Xanthan Gum, Trisodium Ethylenediamine Disuccinate, Sodium Hydroxide, Sodium Hyaluronate, Parfum/Fragrance, Aloe Barbadensis Leaf Juice Powder, Myrciaria Dubia Fruit Extract, Linalool, Limonene, Benzyl Benzoate.",All,"Reveal hydrated, radiant-looking skin in just 15 minutes with our vegan Vitamin C Glow Sheet Mask. Enriched with vitamin C-rich camu camu and Community Trade organic aloe vera, this mask reveals your natural-looking glow and leaves skin feeling instantly awakened, hydrated and healthier.","[' Vegan ', 'Hydrating single-use Vitamin C mask', 'Suitable for all skin types', 'Skin feels hydrated, awakened and healthier', 'Easy to use for instant results', 'Enriched with vitamin C-rich  camu camu from Peru and Community Trade organic  aloe vera from Mexico', 'Biodegradable sheet']"
